feature,importance
v_3,19.595028868117375
v_0,15.82961703482484
v_12,13.209705542059323
v_8,6.386395954593811
power_per_year,3.848041787492563
v_6,3.200129097715697
kilometer_bin,2.78082714047365
v_14,2.6504775703913928
v_10,2.489650831206385
v_9,2.4699453554058453
v_1,2.3259042403015964
v_4,2.2574930055167273
reg_year,2.2242588287758993
age_group,2.027435091857773
power_km_ratio,1.885844979456112
power_bin,1.7884120605796543
brand,1.5290099083639304
v_2,1.4079086357543944
reg_decade,1.2412639960293115
power_clipped,1.2363782158755157
v_13,1.1368673744006614
v_11,1.037766866659498
model,0.9943759250941296
v_5,0.739552181860181
power,0.658761923108994
car_age_now,0.5366367491878489
usage_intensity,0.47695800299613716
brand_bodyType,0.35373150269383413
car_age_months,0.3503727743136194
brand_model,0.32215575438445765
car_age_sq,0.3111142696075951
regionCode,0.3102188634567284
bodyType,0.2917982026808458
car_age,0.2775162165438849
power_log,0.2748038598082202
fuel_gear,0.21489465272467584
brand_age,0.1792367772670663
kilometer,0.15589387700227153
create_quarter,0.11601894327739791
reg_month,0.10873956853609729
body_fuel,0.10757038433838735
brand_fuel,0.10649728129098442
region_province,0.0943159303210463
fuelType,0.08858085293268984
v_7,0.07382172900791809
listing_days,0.07025610965062001
reg_quarter,0.060640534857166306
gearbox,0.04720255712469127
is_old_car,0.042819837687788534
create_day,0.03868994610883257
reg_day,0.029166439591965083
reg_is_early_year,0.008197917540379069
is_new_car,0.0008023977804657761
create_month,0.000295651371296629
is_almost_new,0.0
reg_is_late_year,0.0
create_year,0.0
offerType,0.0
seller,0.0
is_high_power,0.0
