feature,importance
v_3,21.024893231391538
v_0,16.2120633722209
v_12,15.937066452873305
reg_year,6.360141807879009
power,6.308201710562013
v_8,4.960752280636164
kilometer,3.8311788110819958
v_6,3.2507336320646183
v_9,2.7701167497645223
v_1,2.7288985571831192
v_14,2.687876153099613
v_10,2.061635557498222
car_age_now,1.781870083001416
brand,1.4569206697904535
v_4,1.3151761853254522
model,1.2954853853624653
car_age,1.0941114399504601
v_5,0.9959291924133767
v_13,0.9958033289767596
v_11,0.7278346895476874
v_2,0.6473109444445789
regionCode,0.3567202448832218
bodyType,0.34359392063335376
fuelType,0.31573333164398115
v_7,0.15570254478675374
reg_month,0.12261568849456012
gearbox,0.09175408506504258
listing_days,0.08468021211276999
create_day,0.04897654605844959
reg_day,0.03492844081436697
create_month,0.0008043435916290314
is_new_car,0.0004904068480394462
offerType,0.0
create_year,0.0
seller,0.0
