feature,importance
v_0,0.41620708
v_12,0.264368
v_3,0.15717542
v_10,0.025533572
kilometer,0.012903032
power,0.012802481
v_9,0.010279705
v_6,0.008285527
reg_year,0.0077151456
v_14,0.0075629386
is_new_car,0.0074869934
car_age_now,0.006949202
car_age,0.006827913
v_5,0.006629013
v_1,0.004938068
model,0.0048179897
v_13,0.004764418
v_8,0.004555909
brand,0.003454312
v_11,0.0031743792
v_4,0.003111631
v_7,0.0028236688
v_2,0.002783663
bodyType,0.0027741787
fuelType,0.0024146368
gearbox,0.0020983343
regionCode,0.0015457007
listing_days,0.0013917631
create_month,0.0013799795
create_day,0.0011645828
reg_month,0.0010579096
reg_day,0.0010228178
seller,0.0
offerType,0.0
create_year,0.0
